Record Date,AVGCOURT_noTIPS1,AVGCOURT_noTIPS10,AVGCOURT_noTIPS100,AVGCOURT_noTIPS101,AVGCOURT_noTIPS102,AVGCOURT_noTIPS103,AVGCOURT_noTIPS104,AVGCOURT_noTIPS105,AVGCOURT_noTIPS106,AVGCOURT_noTIPS107,AVGCOURT_noTIPS108,AVGCOURT_noTIPS109,AVGCOURT_noTIPS11,AVGCOURT_noTIPS110,AVGCOURT_noTIPS111,AVGCOURT_noTIPS112,AVGCOURT_noTIPS113,AVGCOURT_noTIPS114,AVGCOURT_noTIPS115,AVGCOURT_noTIPS116,AVGCOURT_noTIPS117,AVGCOURT_noTIPS118,AVGCOURT_noTIPS119,AVGCOURT_noTIPS12,AVGCOURT_noTIPS120,AVGCOURT_noTIPS121,AVGCOURT_noTIPS122,AVGCOURT_noTIPS13,AVGCOURT_noTIPS14,AVGCOURT_noTIPS15,AVGCOURT_noTIPS16,AVGCOURT_noTIPS17,AVGCOURT_noTIPS18,AVGCOURT_noTIPS19,AVGCOURT_noTIPS2,AVGCOURT_noTIPS20,AVGCOURT_noTIPS21,AVGCOURT_noTIPS22,AVGCOURT_noTIPS23,AVGCOURT_noTIPS24,AVGCOURT_noTIPS25,AVGCOURT_noTIPS26,AVGCOURT_noTIPS27,AVGCOURT_noTIPS28,AVGCOURT_noTIPS29,AVGCOURT_noTIPS3,AVGCOURT_noTIPS30,AVGCOURT_noTIPS31,AVGCOURT_noTIPS32,AVGCOURT_noTIPS33,AVGCOURT_noTIPS34,AVGCOURT_noTIPS35,AVGCOURT_noTIPS36,AVGCOURT_noTIPS37,AVGCOURT_noTIPS38,AVGCOURT_noTIPS39,AVGCOURT_noTIPS4,AVGCOURT_noTIPS40,AVGCOURT_noTIPS41,AVGCOURT_noTIPS42,AVGCOURT_noTIPS43,AVGCOURT_noTIPS44,AVGCOURT_noTIPS45,AVGCOURT_noTIPS46,AVGCOURT_noTIPS47,AVGCOURT_noTIPS48,AVGCOURT_noTIPS49,AVGCOURT_noTIPS5,AVGCOURT_noTIPS50,AVGCOURT_noTIPS51,AVGCOURT_noTIPS52,AVGCOURT_noTIPS53,AVGCOURT_noTIPS54,AVGCOURT_noTIPS55,AVGCOURT_noTIPS56,AVGCOURT_noTIPS57,AVGCOURT_noTIPS58,AVGCOURT_noTIPS59,AVGCOURT_noTIPS6,AVGCOURT_noTIPS60,AVGCOURT_noTIPS61,AVGCOURT_noTIPS62,AVGCOURT_noTIPS63,AVGCOURT_noTIPS64,AVGCOURT_noTIPS65,AVGCOURT_noTIPS66,AVGCOURT_noTIPS67,AVGCOURT_noTIPS68,AVGCOURT_noTIPS69,AVGCOURT_noTIPS7,AVGCOURT_noTIPS70,AVGCOURT_noTIPS71,AVGCOURT_noTIPS72,AVGCOURT_noTIPS73,AVGCOURT_noTIPS74,AVGCOURT_noTIPS75,AVGCOURT_noTIPS76,AVGCOURT_noTIPS77,AVGCOURT_noTIPS78,AVGCOURT_noTIPS79,AVGCOURT_noTIPS8,AVGCOURT_noTIPS80,AVGCOURT_noTIPS81,AVGCOURT_noTIPS82,AVGCOURT_noTIPS83,AVGCOURT_noTIPS84,AVGCOURT_noTIPS85,AVGCOURT_noTIPS86,AVGCOURT_noTIPS87,AVGCOURT_noTIPS88,AVGCOURT_noTIPS89,AVGCOURT_noTIPS9,AVGCOURT_noTIPS90,AVGCOURT_noTIPS91,AVGCOURT_noTIPS92,AVGCOURT_noTIPS93,AVGCOURT_noTIPS94,AVGCOURT_noTIPS95,AVGCOURT_noTIPS96,AVGCOURT_noTIPS97,AVGCOURT_noTIPS98,AVGCOURT_noTIPS99,AVGCOURT_ofTIPS1,AVGCOURT_ofTIPS10,AVGCOURT_ofTIPS100,AVGCOURT_ofTIPS101,AVGCOURT_ofTIPS102,AVGCOURT_ofTIPS103,AVGCOURT_ofTIPS104,AVGCOURT_ofTIPS105,AVGCOURT_ofTIPS106,AVGCOURT_ofTIPS107,AVGCOURT_ofTIPS108,AVGCOURT_ofTIPS109,AVGCOURT_ofTIPS11,AVGCOURT_ofTIPS110,AVGCOURT_ofTIPS111,AVGCOURT_ofTIPS112,AVGCOURT_ofTIPS113,AVGCOURT_ofTIPS114,AVGCOURT_ofTIPS115,AVGCOURT_ofTIPS116,AVGCOURT_ofTIPS117,AVGCOURT_ofTIPS118,AVGCOURT_ofTIPS119,AVGCOURT_ofTIPS12,AVGCOURT_ofTIPS120,AVGCOURT_ofTIPS121,AVGCOURT_ofTIPS122,AVGCOURT_ofTIPS13,AVGCOURT_ofTIPS14,AVGCOURT_ofTIPS15,AVGCOURT_ofTIPS16,AVGCOURT_ofTIPS17,AVGCOURT_ofTIPS18,AVGCOURT_ofTIPS19,AVGCOURT_ofTIPS2,AVGCOURT_ofTIPS20,AVGCOURT_ofTIPS21,AVGCOURT_ofTIPS22,AVGCOURT_ofTIPS23,AVGCOURT_ofTIPS24,AVGCOURT_ofTIPS25,AVGCOURT_ofTIPS26,AVGCOURT_ofTIPS27,AVGCOURT_ofTIPS28,AVGCOURT_ofTIPS29,AVGCOURT_ofTIPS3,AVGCOURT_ofTIPS30,AVGCOURT_ofTIPS31,AVGCOURT_ofTIPS32,AVGCOURT_ofTIPS33,AVGCOURT_ofTIPS34,AVGCOURT_ofTIPS35,AVGCOURT_ofTIPS36,AVGCOURT_ofTIPS37,AVGCOURT_ofTIPS38,AVGCOURT_ofTIPS39,AVGCOURT_ofTIPS4,AVGCOURT_ofTIPS40,AVGCOURT_ofTIPS41,AVGCOURT_ofTIPS42,AVGCOURT_ofTIPS43,AVGCOURT_ofTIPS44,AVGCOURT_ofTIPS45,AVGCOURT_ofTIPS46,AVGCOURT_ofTIPS47,AVGCOURT_ofTIPS48,AVGCOURT_ofTIPS49,AVGCOURT_ofTIPS5,AVGCOURT_ofTIPS50,AVGCOURT_ofTIPS51,AVGCOURT_ofTIPS52,AVGCOURT_ofTIPS53,AVGCOURT_ofTIPS54,AVGCOURT_ofTIPS55,AVGCOURT_ofTIPS56,AVGCOURT_ofTIPS57,AVGCOURT_ofTIPS58,AVGCOURT_ofTIPS59,AVGCOURT_ofTIPS6,AVGCOURT_ofTIPS60,AVGCOURT_ofTIPS61,AVGCOURT_ofTIPS62,AVGCOURT_ofTIPS63,AVGCOURT_ofTIPS64,AVGCOURT_ofTIPS65,AVGCOURT_ofTIPS66,AVGCOURT_ofTIPS67,AVGCOURT_ofTIPS68,AVGCOURT_ofTIPS69,AVGCOURT_ofTIPS7,AVGCOURT_ofTIPS70,AVGCOURT_ofTIPS71,AVGCOURT_ofTIPS72,AVGCOURT_ofTIPS73,AVGCOURT_ofTIPS74,AVGCOURT_ofTIPS75,AVGCOURT_ofTIPS76,AVGCOURT_ofTIPS77,AVGCOURT_ofTIPS78,AVGCOURT_ofTIPS79,AVGCOURT_ofTIPS8,AVGCOURT_ofTIPS80,AVGCOURT_ofTIPS81,AVGCOURT_ofTIPS82,AVGCOURT_ofTIPS83,AVGCOURT_ofTIPS84,AVGCOURT_ofTIPS85,AVGCOURT_ofTIPS86,AVGCOURT_ofTIPS87,AVGCOURT_ofTIPS88,AVGCOURT_ofTIPS89,AVGCOURT_ofTIPS9,AVGCOURT_ofTIPS90,AVGCOURT_ofTIPS91,AVGCOURT_ofTIPS92,AVGCOURT_ofTIPS93,AVGCOURT_ofTIPS94,AVGCOURT_ofTIPS95,AVGCOURT_ofTIPS96,AVGCOURT_ofTIPS97,AVGCOURT_ofTIPS98,AVGCOURT_ofTIPS99,AVGCOURT_noTIPS0,AVGCOURT_ofTIPS0
2001-03-31,5.981987033615243,5.923150678114819,6.0,,6.750000000000001,6.500000000000001,6.625,,6.375,6.125,,,6.388434183281672,5.5,5.25,5.25,,6.125000000000001,,,,,,5.2235303527923325,,,,6.748749524624856,7.345666586410743,7.257211731651254,7.499999999999999,7.142831572062707,8.123096765105794,5.793936330451195,5.384805269844555,6.504877765133165,6.875000000000001,7.000000000000002,6.500000000000001,6.585788543707015,6.625,6.125,7.875,5.5,5.625000000000001,6.370592072419742,8.375,5.440167115180238,,6.3605760036898085,6.0,10.375,6.998658818925995,10.0,5.750000000000001,12.75,6.292577703711809,4.999999999999999,13.875,,14.000000000000002,,,,10.375,,,6.582086857846842,12.0,,,13.25,12.5,11.75,11.25,,10.625,9.875,6.151330687375817,9.25,7.249999999999999,,7.499999999999999,,8.750000000000002,8.875,,,9.125,5.792220986137942,,9.0,8.875,,8.125,,8.5,8.750000000000002,8.75,,5.592350453543495,7.875,8.125,8.125000000000002,8.0,,,7.249999999999999,7.625,7.125000000000002,,5.941059630689111,6.250000000000001,,,,,7.499999999999999,7.625,,6.875,,,,,,,,,,,,,3.624999999999999,,,,,3.875,,,,,,,,,,,,,,,,,,,,,,,3.3750000000000004,,,,3.625,,,,,3.875,,,,4.25,,,,,3.5000000000000004,,,,,,,,,,,,,,,,,,,,,3.6249999999999996,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2001-06-30,5.14024877441814,6.388434183281672,,6.750000000000001,6.500000000000001,6.625,,6.374999999999999,6.125,,,5.5,5.2235303527923325,5.25,5.25,,6.125000000000001,,,6.25,,,5.375,6.748749524624856,,,,7.345666586410743,7.257211731651254,7.499999999999999,7.142831572062707,8.123096765105794,5.793936228917634,6.504877765133165,4.904341377544192,5.744233341338473,7.000000000000002,6.500000000000001,6.585788543707015,6.625,6.125,7.875,5.5,5.625000000000001,8.375,6.292577703711809,5.440167115180238,,6.3605760036898085,6.0,10.375,6.973487050599437,10.0,5.750000000000001,12.75,5.0,6.582086857846842,13.875,,14.000000000000002,,,,10.375,,,12.0,6.151330687375817,,,13.25,12.5,11.75,11.25,,10.625,9.875,9.25,5.792220986137942,7.249999999999999,,7.499999999999999,,8.75,8.875,,,9.125,,5.41697848840528,9.0,8.875,,8.125,,8.5,8.750000000000002,8.75,,7.874999999999999,5.23655543601456,8.125,8.125000000000002,8.000000000000002,,,7.25,7.625,7.125000000000001,,6.250000000000001,5.923150678114819,,,,,7.499999999999999,7.625,,6.875,,6.0,,,,,,,,,,,3.6250000000000004,,,,,3.8750000000000004,,,,,,,,,,,,,,,,,,,,,,,3.375,,,,3.6249999999999996,,,,,3.8750000000000004,,,,4.25,,,,3.5000000000000004,,,,,,,,,,,,3.6249999999999996,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2001-09-30,4.407130609511474,5.2235303527923325,6.75,6.500000000000001,6.625,,6.374999999999999,6.125,,,5.5,5.25,6.748749524624856,5.25,,6.125000000000001,,,6.25,,,5.375,,7.345666586410743,,,,7.257211731651254,7.499999999999999,7.142831572062707,8.123096765105794,5.793936228917634,6.504877765133165,5.447462506670631,4.254387538726608,7.000000000000002,6.500000000000001,6.585788543707015,6.625,6.125,7.875,5.5,5.625000000000001,8.375,5.440167115180238,6.582086857846842,,6.3605760036898085,6.0,10.375,6.973487050599437,10.0,5.750000000000001,12.75,5.0,13.875,6.151330687375817,5.000000000000001,14.000000000000002,,,,10.375000000000002,,,12.0,,5.792220986137942,,13.25,12.5,11.75,11.25,,10.625000000000002,9.875,9.25,7.249999999999999,5.41697848840528,,7.499999999999999,,8.75,8.875,,,9.125,,9.0,4.99710719996588,8.875,,8.125,,8.5,8.75,8.75,,7.875,8.125,5.043576947152626,8.125,8.000000000000002,,,7.25,7.625,7.125000000000002,,6.250000000000001,,6.388434183281672,,,,7.499999999999999,7.625,,6.875,,6.0,,,,,,,,,,,3.625,,,,,3.875,,,,,,,,,,,,,,,,,,,,,,,3.375,,,,3.624999999999999,,,,,3.875,,,,4.25,,,,3.500000000000001,,3.625,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2001-12-31,3.8204832712807657,6.748749524624856,6.500000000000001,6.625000000000001,,6.375,6.125,,,5.5,5.25,5.25,7.345666586410743,,6.125000000000001,,,6.25,,,5.375,,,7.257211731651254,,,,7.499999999999999,7.142831572062707,8.123096765105794,5.793936228917634,6.504877765133165,5.447462506670631,7.000000000000002,3.2873424379864344,5.132997105883969,6.585788543707015,6.625,6.125,7.875,5.5,5.625000000000001,8.375,5.440167115180238,,6.151330687375817,6.3605760036898085,6.0,10.375,6.973487050599437,10.0,5.750000000000001,12.75,5.0,13.875,5.000000000000001,5.792220986137942,14.000000000000002,,,,10.375,,,12.0,,,5.41697848840528,13.25,12.5,11.750000000000002,11.25,,10.625000000000002,9.875,9.25,7.249999999999999,,4.99710719996588,7.499999999999999,,8.75,8.875,,,9.125,,9.0,8.875,4.565161733167266,,8.125,,8.5,8.750000000000002,8.750000000000002,,7.875,8.125,8.125,3.8312848122923793,8.0,,,7.249999999999999,7.625,7.125000000000002,,6.250000000000001,,,5.2235303527923325,,,7.499999999999999,7.625,,6.875000000000001,,6.0,,6.750000000000001,,,,,,,,,3.625,,,,,3.875,,,,,,,,,,,,,3.375000000000001,,,,,,,,,,3.3750000000000004,,,,3.625,,,,3.875,3.624999999999999,,,,4.250000000000001,,,,3.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2002-03-31,2.681822207483929,7.345666586410743,6.625000000000001,,6.375,6.125,,,5.5,5.25,5.25,,7.257211731651254,6.125000000000001,,,6.25,,,5.375,,,,7.499999999999999,,,,7.142831572062707,8.123096765105794,5.793936228917634,6.504877765133165,5.447462506670631,7.000000000000002,4.6649248500219676,3.165986965848801,6.25,6.625,6.125,7.875,5.5,5.625000000000001,8.375,5.440167115180238,,6.3605760036898085,5.792220986137942,6.0,10.375,6.973487050599437,10.0,5.750000000000001,12.75,5.0,13.875,5.000000000000001,14.000000000000002,5.41697848840528,4.875,,,10.375,,,12.0,,,13.25,4.99710719996588,12.5,11.750000000000002,11.25,,10.625000000000002,9.875,9.25,7.249999999999999,,7.499999999999999,4.565161733167266,,8.75,8.875,,,9.125,,9.0,8.875,,3.8312889128698675,8.125,,8.5,8.750000000000002,8.750000000000002,,7.875,8.125,8.125,8.0,3.733510627933221,,,7.249999999999999,7.625,7.125000000000002,,6.250000000000001,,,,6.748749524624856,,7.499999999999999,7.625,,6.875000000000001,,6.0,,6.750000000000001,6.500000000000001,,,,,,,,3.625,,,,3.8749999999999996,,,,,,,,,,,,,,3.3750000000000004,,,,,,,,,3.625,3.3750000000000004,,,,3.625,,,,3.8750000000000004,,,,,4.25,,,,3.5,,,,,3.375,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2002-06-30,2.513169749324136,7.257211731651254,,6.375,6.125,,,5.5,5.25,5.25,,6.125000000000001,7.499999999999999,,,6.25,,,5.375,,,,,7.142831572062707,,,,8.123096765105794,5.793936228917634,6.504877765133165,5.447462506670631,7.000000000000002,4.6649248500219676,6.25,2.882127524801362,5.194792025067753,6.125,7.875,5.5,5.625000000000001,8.375,5.440167115180238,,6.3605760036898085,6.0,5.41697848840528,10.375,6.973487050599437,10.0,5.750000000000001,12.75,5.0,13.875,5.000000000000001,14.000000000000002,4.875,4.9971057351012895,,,10.375,,,12.0,,,13.25,12.5,4.565161733167266,11.750000000000002,11.25,,10.625000000000002,9.875,9.25,7.249999999999999,,7.500000000000001,,3.8312889128698675,8.75,8.875,,,9.125,,9.0,8.875,,8.125,3.705239029298121,,8.5,8.750000000000002,8.750000000000002,,7.875,8.125,8.125,8.0,,4.549640148813331,,7.249999999999999,7.625,7.125,,6.250000000000001,,,,,7.345666586410743,7.499999999999999,7.625,,6.875000000000001,,6.0,,6.75,6.500000000000001,6.625,3.625,,,,,,3.6249999999999996,,,,3.8750000000000004,,,,,,,,,,,,,,3.3750000000000004,,,,,,,,,3.375,,,,,3.6249999999999996,,,,3.875,,,,,4.250000000000001,,,,3.5000000000000004,,,,3.375,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2002-09-30,2.3682035824166188,7.499999999999999,6.375,6.125,,,5.5,5.25,5.25,,6.125000000000001,,7.142831572062707,,6.25,,,5.375,,,,,,8.123096765105794,,,,5.793936228917634,6.504877765133165,5.447462506670631,7.000000000000002,4.6649248500219676,6.25,5.194792025067753,2.779035107568923,4.693862997740132,7.875,5.5,5.625000000000001,8.375,5.440167115180238,,6.3605760036898085,6.0,10.375,4.99710719996588,6.973487050599437,10.0,5.750000000000001,12.75,5.0,13.875,5.000000000000001,14.000000000000002,4.875,,4.565161733167266,4.375000000000001,10.375,,,12.0,,,13.25,12.5,11.750000000000002,3.8312889128698675,11.25,,10.625000000000002,9.875,9.25,7.249999999999999,,7.500000000000001,,8.75,3.7052390851925368,8.875,,,9.125,,9.0,8.875,,8.125,,4.133797705566682,8.5,8.750000000000002,8.750000000000002,,7.875,8.125,8.125,8.0,,,3.4340196997153667,7.249999999999999,7.625,7.125,,6.250000000000001,,,,,7.499999999999999,7.257211731651254,7.625,,6.875000000000001,,6.0,,6.75,6.500000000000001,6.625,,,,,,,3.6249999999999996,,,,3.875,,,,,,,,,,,,,3.375,,,,,,,,,,3.375,,,,,3.625,,,,3.875,,,,,4.25,,,,3.5000000000000004,,,,3.3750000000000004,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2002-12-31,2.233627650485929,7.142831572062707,6.125,,,5.5,5.25,5.25,,6.125000000000001,,,8.123096765105794,6.25,,,5.375,,,,,,,5.793936228917634,,,,6.504877765133165,5.447462506670631,7.000000000000002,4.6649248500219676,6.25,5.194792025067753,4.693862997740132,2.2248199572488385,3.0,5.5,5.625000000000001,8.375,5.440167115180238,,6.3605760036898085,6.0,10.375,6.973487050599437,4.565161733167266,10.0,5.750000000000001,12.75,5.0,13.875,5.000000000000001,14.000000000000002,4.875,,4.375000000000001,3.8312889128698675,6.285984396977771,,,12.0,,,13.25,12.5,11.750000000000002,11.25,3.7052390851925368,,10.625000000000002,9.875,9.25,7.249999999999999,,7.500000000000001,,8.75,8.875,4.133797705566682,,,9.125,,9.0,8.875,,8.125,,8.5,3.4340407981724987,8.750000000000002,8.750000000000002,,7.875,8.125,8.125,8.0,,,7.249999999999999,3.8632172616772675,7.625,7.125,,6.250000000000001,,,,,7.499999999999999,7.625,7.499999999999999,,6.875000000000001,,6.0,,6.75,6.500000000000001,6.625,,6.375,,,,,3.6249999999999996,,,,3.8749999999999996,,,,,,,,,,,,,3.3750000000000004,,,,,,,,,,3.3750000000000004,,,,,3.6249999999999996,,,,3.8750000000000004,,,,4.250000000000001,,,,,3.5000000000000004,,,,3.3750000000000004,,2.9999999999999996,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2003-03-31,1.808366113788583,8.123096765105794,,,5.5,5.25,5.25,,6.125000000000001,,,6.25,5.793936228917634,,,5.375,,,,,,,,6.504877765133165,,,,5.447462506670631,7.000000000000002,4.6649248500219676,6.25,5.194792025067753,4.693862997740132,3.0,2.1091001909978147,3.826791351680261,5.625000000000001,8.375,5.440167115180238,,6.3605760036898085,6.0,10.375,6.973487050599437,10.0,3.8312889128698675,5.750000000000001,12.75,5.0,13.875,5.000000000000001,14.000000000000002,4.875,,4.375000000000001,6.285984396977771,3.7052390851925368,3.8750000000000004,,12.0,,,13.25,12.5,11.750000000000002,11.25,,4.133797705566682,10.625000000000002,9.875,9.25,7.249999999999999,,7.500000000000001,,8.75,8.875,,3.4340407981724987,,9.125,,9.0,8.875,,8.125,,8.5,8.750000000000002,3.863236725238504,8.750000000000002,,7.875,8.125,8.125,8.0,,,7.249999999999999,7.625,2.2751815777424063,7.125,,6.250000000000001,,,,,7.499999999999999,7.625,,7.142831572062707,6.875000000000001,,6.0,,6.75,6.500000000000001,6.625,,6.375,6.125,,,,3.625,,,,3.8749999999999996,,,,,,,,,,,,,3.3750000000000004,,,,,,,,,,3.3750000000000004,,,,,3.625,,,,3.875,,,,4.25,,,,,3.5,,,,3.3750000000000004,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2003-06-30,1.6676575798740054,5.793936228917634,,5.5,5.25,5.25,,6.125000000000001,,,6.25,,6.504877765133165,,5.375,,,,,,,,,4.281468256456914,,,,7.000000000000002,4.6649248500219676,6.25,5.194792025067753,4.693862997740132,3.0,3.826791351680261,1.8049242179850995,3.9726527237036846,8.375,5.440167115180238,,6.3605760036898085,6.0,10.375,6.973487050599437,10.0,5.750000000000001,3.7052390851925368,12.75,5.0,13.875,5.000000000000001,14.000000000000002,4.875,,4.375000000000001,6.285984396977771,3.8750000000000004,4.133797705566682,3.624999999999999,12.0,,,13.25,12.5,11.750000000000002,11.25,,10.625000000000002,3.4340407981724987,9.875,9.25,7.249999999999999,,7.500000000000001,,8.75,8.875,,,3.863236725238504,9.125,,9.0,8.875,,8.125,,8.5,8.750000000000002,8.750000000000002,2.275194343229806,,7.875,8.125,8.125,8.0,,,7.249999999999999,7.625,7.125,3.2500937827466694,,6.250000000000001,,,,,7.499999999999999,7.625,,6.875000000000001,8.123096765105794,,6.0,,6.75,6.500000000000001,6.625,,6.375,6.125,,,,3.625,,,,3.8750000000000004,,,,,,,,,,,,,3.375,,,,,,,,,,3.375,,,,3.625,,,,,3.875,,,,4.250000000000001,,,,,3.5000000000000004,,,,3.375,,3.0000000000000004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
